2023-01-24,0,0,49,49,69,69,72,72,83,83,83,119,101,101,101,101,86,86,93,93,93,93,115,115,115,114,108,108,104,117,117,117,82,82,82,
2023-01-26,82,82,40,40,66,66,68,68,68,68,68,68,80,80,80,101,86,86,91,94,94,89,138,138,138,156,156,116,110,123,123,79,79,79,27,
2023-01-27,27,27,47,47,51,51,66,66,66,66,80,77,76,79,85,96,96,96,89,89,112,114,114,114,133,82,107,107,78,78,67,42,42,42,42,32,42,42,42,64,64,65,91,91,91,96,96,96,2023-01-28,70,65,65,81,81,81,81,81,137,137,123,113,113,55,29,29,29,29,29,29,2023-01-29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,73,73,92,92,109,109,84,84,84,86,67,67,67,52,55,61,61,61,61,61,61,
2023-01-30,61,61,61,61,61,61,61,61,61,61,61,61,61,61,52,52,80,80,44,44,44,87,68,68,64,64,64,39,55,55,33,33,46,46,46,
2023-01-31,46,46,52,52,57,72,72,62,83,83,81,81,73,73,73,84,84,83,114,114,136,136,118,118,118,126,101,93,93,107,107,107,37,

2023-02-01,57,57,57,83,101,101,101,107,133,133,97,97,97,126,140,112,90,90,90,0,
2023-02-02,0,0,0,53,58,58,65,60,60,82,82,95,90,90,77,77,74,74,86,86,95,95,95,83,83,114,132,88,97,85,85,75,75,75,48,
2023-02-03,48,48,42,42,58,58,58,44,55,55,55,97,112,112,112,112,75,62,82,82,118,118,98,98,98,100,80,91,96,99,99,95,95,47,30,
2023-02-04,30,30,30,60,60,47,47,47,47,80,80,81,75,75,75,99,92,92,92,97,97,114,114,141,141,141,141,66,61,61,61,61,61,61,61,
2023-02-05,61,61,61,61,61,61,61,61,61,61,61,61,61,61,58,88,89,89,89,80,80,92,92,89,89,86,86,86,51,51,51,51,51,51,51,